SpectraSuite Datei
++++++++++++++++++++++++++++++++++++
Datum: Tue Dec 10 15:14:02 CET 2019
Benutzer: Lichtquellen1
Dark-Spektrum vorhanden: Ja
Referenz-Spektrum vorhanden: Nein
Zahl der probierten Teilspektren: 1
Spektrometer: USB4F05832
Integrationszeit (usec): 100000 (USB4F05832)
Spektren Durchschnitt berechnet: 10 (USB4F05832)
Boxcar Glättung: 0 (USB4F05832)
Dunkelstromkorrektur: Nein (USB4F05832)
Puls/Lampe aktiviert: Nein (USB4F05832)
Correct for Detector Non-linearity: Nein (USB4F05832)
Streulichtkorrektur: Nein (USB4F05832)
Anzahl Pixel in verarbeitetem Spektrum: 3648
>>>>>Begin Processed Spectral Data<<<<<
177,54	31,74
177,75	31,74
177,97	31,74
178,19	2,66
178,41	49,97
178,63	48,13
178,85	9,83
179,07	22,94
179,29	0,61
179,51	27,03
179,73	67,17
179,95	17,82
180,17	39,32
180,39	28,47
180,61	59,80
180,83	38,09
181,05	61,44
181,27	33,18
181,49	46,08
181,71	26,62
181,92	49,36
182,14	64,51
182,36	35,84
182,58	26,83
182,80	20,27
183,02	87,24
183,24	50,58
183,46	12,70
183,68	42,80
183,90	61,64
184,12	73,11
184,34	51,40
184,56	40,14
184,78	62,67
185,00	41,78
185,21	24,58
185,43	42,19
185,65	54,27
185,87	54,89
186,09	69,63
186,31	37,68
186,53	53,04
186,75	44,03
186,97	31,13
187,19	42,80
187,41	22,94
187,63	48,74
187,84	55,30
188,06	43,83
188,28	22,73
188,50	54,89
188,72	49,97
188,94	36,25
189,16	51,20
189,38	50,58
189,60	42,39
189,82	23,55
190,03	25,39
190,25	42,19
190,47	38,50
190,69	7,37
190,91	44,85
191,13	52,84
191,35	64,31
191,57	52,22
191,79	23,55
192,01	14,54
192,22	66,35
192,44	41,16
192,66	38,09
192,88	53,25
193,10	49,77
193,32	48,13
193,54	47,92
193,76	38,91
193,98	24,58
194,19	30,92
194,41	71,88
194,63	34,20
194,85	21,30
195,07	62,67
195,29	41,57
195,51	54,68
195,73	15,56
195,94	47,10
196,16	40,96
196,38	31,95
196,60	12,08
196,82	35,43
197,04	56,32
197,26	38,09
197,48	29,70
197,69	62,46
197,91	36,04
198,13	32,97
198,35	35,63
198,57	37,27
198,79	61,85
199,01	31,54
199,22	40,34
199,44	46,90
199,66	12,49
199,88	18,23
200,10	24,37
200,32	43,42
200,54	31,54
200,75	30,92
200,97	57,96
201,19	41,98
201,41	36,04
201,63	15,97
201,85	46,90
202,06	25,80
202,28	39,73
202,50	8,19
202,72	26,01
202,94	31,95
203,16	35,63
203,38	60,01
203,59	42,39
203,81	60,42
204,03	32,15
204,25	34,41
204,47	58,98
204,69	67,58
204,90	25,60
205,12	10,24
205,34	29,90
205,56	46,49
205,78	27,44
206,00	38,50
206,21	42,39
206,43	63,28
206,65	43,01
206,87	51,81
207,09	50,18
207,30	55,70
207,52	30,92
207,74	35,23
207,96	23,76
208,18	46,90
208,40	25,60
208,61	58,37
208,83	63,69
209,05	65,13
209,27	35,43
209,49	38,71
209,70	48,54
209,92	40,34
210,14	55,91
210,36	41,98
210,58	58,37
210,79	60,21
211,01	35,84
211,23	75,16
211,45	38,71
211,67	19,46
211,88	58,37
212,10	80,08
212,32	26,62
212,54	13,31
212,76	49,36
212,97	64,10
213,19	45,46
213,41	48,54
213,63	52,63
213,85	15,97
214,06	32,56
214,28	48,74
214,50	46,08
214,72	20,07
214,94	19,46
215,15	62,87
215,37	65,33
215,59	53,86
215,81	40,14
216,02	24,78
216,24	25,19
216,46	41,57
216,68	41,16
216,90	55,50
217,11	48,54
217,33	38,09
217,55	39,32
217,77	60,21
217,98	19,25
218,20	57,75
218,42	46,90
218,64	44,44
218,85	60,62
219,07	25,60
219,29	59,39
219,51	54,27
219,73	38,09
219,94	31,54
220,16	71,06
220,38	39,94
220,60	13,11
220,81	35,43
221,03	27,65
221,25	45,26
221,47	48,13
221,68	49,56
221,90	43,62
222,12	41,78
222,34	75,57
222,55	43,01
222,77	32,15
222,99	62,87
223,21	8,19
223,42	28,88
223,64	32,77
223,86	26,42
224,08	41,98
224,29	75,98
224,51	31,74
224,73	43,21
224,94	40,55
225,16	46,90
225,38	30,92
225,60	64,10
225,81	40,55
226,03	29,90
226,25	18,64
226,47	11,88
226,68	13,31
226,90	29,29
227,12	48,33
227,33	27,65
227,55	51,40
227,77	37,89
227,99	21,91
228,20	66,15
228,42	31,95
228,64	21,09
228,86	53,45
229,07	49,97
229,29	33,59
229,51	28,47
229,72	26,42
229,94	34,82
230,16	60,82
230,38	41,57
230,59	59,39
230,81	-0,00
231,03	36,45
231,24	26,21
231,46	59,39
231,68	44,65
231,89	10,65
232,11	63,49
232,33	55,09
232,55	55,70
232,76	54,27
232,98	53,86
233,20	34,61
233,41	64,92
233,63	41,57
233,85	63,90
234,06	10,04
234,28	65,13
234,50	33,79
234,71	9,22
234,93	48,33
235,15	28,26
235,37	8,40
235,58	10,44
235,80	32,97
236,02	57,55
236,23	20,48
236,45	46,28
236,67	21,50
236,88	9,83
237,10	31,13
237,32	38,09
237,53	65,33
237,75	19,87
237,97	27,85
238,18	35,02
238,40	49,97
238,62	60,62
238,83	56,11
239,05	33,18
239,27	39,53
239,48	58,16
239,70	26,21
239,92	24,37
240,13	56,73
240,35	57,96
240,57	37,07
240,78	23,76
241,00	59,39
241,22	51,81
241,43	61,23
241,65	38,71
241,87	50,79
242,08	64,72
242,30	27,65
242,52	55,70
242,73	81,71
242,95	28,88
243,16	39,73
243,38	35,84
243,60	52,84
