SpectraSuite Datei
++++++++++++++++++++++++++++++++++++
Datum: Tue Dec 10 15:40:19 CET 2019
Benutzer: Lichtquellen1
Dark-Spektrum vorhanden: Ja
Referenz-Spektrum vorhanden: Nein
Zahl der probierten Teilspektren: 1
Spektrometer: USB4F05832
Integrationszeit (usec): 200000 (USB4F05832)
Spektren Durchschnitt berechnet: 20 (USB4F05832)
Boxcar Glättung: 0 (USB4F05832)
Dunkelstromkorrektur: Nein (USB4F05832)
Puls/Lampe aktiviert: Nein (USB4F05832)
Correct for Detector Non-linearity: Nein (USB4F05832)
Streulichtkorrektur: Nein (USB4F05832)
Anzahl Pixel in verarbeitetem Spektrum: 3648
>>>>>Begin Processed Spectral Data<<<<<
177,54	2,46
177,75	2,46
177,97	2,46
178,19	11,47
178,41	1,23
178,63	-2,56
178,85	12,08
179,07	-2,76
179,29	15,05
179,51	6,96
179,73	13,62
179,95	-3,07
180,17	3,38
180,39	23,04
180,61	28,47
180,83	7,58
181,05	25,09
181,27	14,23
181,49	254,36
181,71	392,39
181,92	371,09
182,14	416,97
182,36	387,58
182,58	438,37
182,80	403,86
183,02	427,21
183,24	416,86
183,46	404,27
183,68	411,03
183,90	421,68
184,12	420,76
184,34	436,63
184,56	444,51
184,78	424,54
185,00	470,52
185,21	462,53
185,43	437,96
185,65	413,18
185,87	415,33
186,09	415,43
186,31	382,05
186,53	388,09
186,75	391,06
186,97	400,48
187,19	398,64
187,41	367,30
187,63	396,49
187,84	383,79
188,06	398,33
188,28	396,28
188,50	390,34
188,72	400,99
188,94	387,78
189,16	403,35
189,38	408,06
189,60	383,69
189,82	389,63
190,03	405,70
190,25	398,64
190,47	413,79
190,69	407,65
190,91	401,50
191,13	391,47
191,35	409,70
191,57	402,84
191,79	416,97
192,01	396,79
192,22	394,75
192,44	389,11
192,66	386,76
192,88	372,53
193,10	384,92
193,32	422,60
193,54	401,71
193,76	426,80
193,98	393,52
194,19	401,81
194,41	392,29
194,63	397,72
194,85	416,15
