12,000	12,006	44,895	41,174
13,000	13,006	45,076	41,174
14,000	14,007	44,895	41,354
15,000	15,007	44,625	41,084
16,000	16,007	44,895	40,814
17,000	17,008	44,895	41,084
18,000	18,008	44,535	41,084
19,000	19,009	44,805	41,084
20,000	20,009	44,805	41,624
21,000	21,010	44,715	40,994
22,000	22,010	44,265	41,084
23,000	23,010	44,895	41,264
24,000	24,011	44,445	41,444
25,000	25,011	44,715	40,994
26,000	26,012	44,535	40,814
27,000	27,013	44,535	40,904
28,000	28,013	44,986	40,814
29,000	29,014	44,715	41,444
30,000	30,014	44,895	40,994
31,000	31,015	44,805	41,264
32,000	32,015	44,625	40,994
33,000	33,016	44,625	41,084
34,000	34,016	44,535	40,994
35,000	35,016	44,986	41,354
36,000	36,017	44,805	41,174
37,000	37,017	45,076	41,084
38,000	38,018	44,715	40,904
39,000	39,018	44,715	41,444
40,000	40,018	45,256	41,354
41,000	41,019	44,715	41,084
42,000	42,019	44,895	40,994
43,000	43,020	45,076	40,904
44,000	44,021	44,715	41,084
45,000	45,022	45,256	40,904
46,000	46,022	44,715	41,264
47,000	47,022	44,625	41,084
48,000	48,023	44,895	40,904
49,000	49,023	44,895	40,904
50,000	50,024	44,805	41,715
51,000	51,024	44,625	41,354
52,000	52,024	44,986	41,444
53,000	53,025	44,715	41,264
54,000	54,025	44,715	41,534
55,000	55,026	44,715	41,534
56,000	56,026	44,895	41,174
57,000	57,026	44,625	41,174
58,000	58,027	44,805	41,354
59,000	59,027	44,986	41,444
60,000	60,028	45,166	41,264
61,000	61,028	44,625	41,174
62,000	62,030	44,355	41,354
63,000	63,030	44,986	41,084
64,000	64,030	44,625	41,534
65,000	65,031	44,986	41,174
66,000	66,031	44,625	41,174
67,000	67,032	44,895	41,534
68,000	68,032	44,715	41,264
69,000	69,033	44,895	41,174
70,000	70,033	44,805	40,904
71,000	71,033	44,715	41,354
72,000	72,034	44,895	41,264
73,000	73,035	44,445	41,264
74,000	74,035	44,535	41,084
75,000	75,035	44,805	41,805
76,000	76,036	44,805	41,354
77,000	77,036	44,715	41,354
78,000	78,036	44,715	40,994
79,000	79,038	44,805	41,715
80,000	80,038	45,076	41,354
81,000	81,039	44,805	41,174
82,000	82,039	44,625	41,174
83,000	83,039	44,625	41,444
84,000	84,040	44,715	41,444
85,000	85,040	45,076	41,264
86,000	86,041	45,076	41,264
87,000	87,041	44,535	41,264
88,000	88,042	44,895	41,354
89,000	89,042	44,715	41,534
90,000	90,042	44,986	41,084
91,000	91,043	45,076	41,264
92,000	92,043	44,986	41,264
93,000	93,044	45,166	41,444
94,000	94,044	44,805	41,354
95,000	95,044	44,535	41,174
96,000	96,046	45,166	41,174
97,000	97,046	44,355	41,264
98,000	98,047	44,986	41,264
99,000	99,047	44,805	41,264
100,000	100,047	44,895	40,904
101,000	101,048	44,895	41,174
102,000	102,049	45,076	41,354
103,000	103,049	45,076	40,904
104,000	104,049	44,986	41,264
105,000	105,050	44,445	41,174
106,000	106,050	44,986	41,444
107,000	107,050	45,076	41,444
108,000	108,051	45,076	41,444
109,000	109,051	44,625	41,084
110,000	110,052	45,166	41,264
111,000	111,052	44,715	41,354
112,000	112,053	44,805	40,904
113,000	113,054	44,625	40,724
114,000	114,054	44,445	41,084
115,000	115,055	44,895	41,354
116,000	116,055	44,895	41,534
117,000	117,056	44,715	41,534
118,000	118,056	45,076	41,084
119,000	119,057	44,895	41,174
120,000	120,057	44,805	40,994
121,000	121,057	44,625	41,354
122,000	122,058	44,986	41,354
123,000	123,058	44,895	41,264
124,000	124,059	44,986	41,084
125,000	125,059	44,535	41,354
126,000	126,059	44,986	41,264
127,000	127,060	44,535	41,174
128,000	128,060	45,076	41,174
129,000	129,061	44,715	41,444
130,000	130,061	44,535	41,174
131,000	131,063	44,895	41,174
132,000	132,063	44,895	41,805
133,000	133,063	44,895	41,444
134,000	134,064	44,715	41,624
135,000	135,064	44,715	41,354
136,000	136,065	44,895	41,354
137,000	137,065	45,076	41,354
138,000	138,065	44,986	41,444
139,000	139,066	44,986	41,264
140,000	140,066	45,076	41,264
141,000	141,067	44,535	41,174
142,000	142,067	44,715	41,084
143,000	143,068	44,445	41,264
144,000	144,068	44,715	41,264
145,000	145,068	44,895	41,534
146,000	146,069	44,535	41,084
147,000	147,069	44,715	41,895
148,000	148,071	44,535	41,444
149,000	149,071	44,625	41,444
150,000	150,071	44,625	41,264
151,000	151,072	44,895	41,174
152,000	152,072	44,895	41,354
153,000	153,073	44,715	41,354
154,000	154,073	44,715	41,354
155,000	155,073	44,535	41,354
156,000	156,074	44,805	41,354
157,000	157,074	44,805	41,084
158,000	158,075	44,805	41,264
159,000	159,075	44,625	41,534
